DOMAINVALUE,STRATUM,UNIDAD,REGION,TIPOEMP,SUPERFICIE,CANTEMP,SOJA,TRIGO,BOVINOS,CATCANTEMP,CATSUPERFICIE,X1,X2,Y1,Y2,Y3,X3,LABEL,STRATO,WEIGHTS
1,1*4*1,4882,1,1,1779.822182,19,378.5,187,790,1,4,1,4,378.5,187,790,1,1,1,3.35643564356436
1,1*4*1,9120,1,1,1555.188088,16,110,373,5281,1,4,1,4,110,373,5281,1,1,1,3.35643564356436
1,1*4*1,4992,1,1,1903.346687,18,65.5,806,3093,1,4,1,4,65.5,806,3093,1,1,1,3.35643564356436
1,1*4*1,6706,1,3,1706.812891,16,15.98257814,206,730,1,4,1,4,15.98257814,206,730,1,1,1,3.35643564356436
1,1*4*1,11352,1,3,1599.955511,18,324.5,394,8317,1,4,1,4,324.5,394,8317,1,1,1,3.35643564356436
1,1*4*1,13312,1,3,1991.326878,17,143,65,1388,1,4,1,4,143,65,1388,1,1,1,3.35643564356436
1,1*1*1,4524,1,2,466.9765147,11,45,716,2961,1,1,1,1,45,716,2961,1,1,1,3.35643564356436
1,1*4*1,12218,1,1,1847.95916,16,393.7,376,1936,1,4,1,4,393.7,376,1936,1,1,1,3.35643564356436
1,1*4*1,3708,1,3,1966.170027,20,247.6,390,1627,1,4,1,4,247.6,390,1627,1,1,1,3.35643564356436
1,1*4*1,10934,1,3,1687.327557,17,293.4,275,787,1,4,1,4,293.4,275,787,1,1,1,3.35643564356436
1,1*1*1,1169,1,2,478.9284554,18,245,83,1795,1,1,1,1,245,83,1795,1,1,1,3.35643564356436
1,1*4*1,10464,1,1,1517.553959,19,142,135,235,1,4,1,4,142,135,235,1,1,1,3.35643564356436
1,1*4*1,4543,1,2,1860.031356,18,1531.9,184,3076,1,4,1,4,1531.9,184,3076,1,1,1,3.35643564356436
1,1*4*1,7297,1,1,1776.45314,15,15,249,456,1,4,1,4,15,249,456,1,1,1,3.35643564356436
1,1*4*1,13737,1,2,1771.653361,17,30.4,200,1614,1,4,1,4,30.4,200,1614,1,1,1,3.35643564356436
1,1*4*1,4858,1,1,1862.30993,15,167.1,272,1865,1,4,1,4,167.1,272,1865,1,1,1,3.35643564356436
1,1*4*1,5930,1,1,1913.630133,20,40.2,284,1045,1,4,1,4,40.2,284,1045,1,1,1,3.35643564356436
1,1*4*1,13683,1,2,1820.814127,13,25.2,153,6211,1,4,1,4,25.2,153,6211,1,1,1,3.35643564356436
1,1*4*1,12566,1,1,1552.095758,20,84.4,327,520,1,4,1,4,84.4,327,520,1,1,1,3.35643564356436
1,1*4*1,6467,1,3,1994.375985,16,61.8,113,2146,1,4,1,4,61.8,113,2146,1,1,1,3.35643564356436
1,1*4*1,14246,1,2,1961.458343,19,136.0316685,161,2823,1,4,1,4,136.0316685,161,2823,1,1,1,3.35643564356436
1,1*4*1,13693,1,2,1760.916102,16,517,314,350,1,4,1,4,517,314,350,1,1,1,3.35643564356436
1,1*4*1,5603,1,1,1768.472259,19,93.5,197,2054,1,4,1,4,93.5,197,2054,1,1,1,3.35643564356436
1,1*4*1,14904,1,1,1655.925324,16,36,206,764,1,4,1,4,36,206,764,1,1,1,3.35643564356436
1,1*4*1,14355,1,1,1784.219554,20,96,199,5947,1,4,1,4,96,199,5947,1,1,1,3.35643564356436
1,1*1*1,7548,1,1,249.0089785,19,92.9,265,1952,1,1,1,1,92.9,265,1952,1,1,1,3.35643564356436
1,1*4*1,5965,1,1,1884.564895,14,74.39297907,193,5855,1,4,1,4,74.39297907,193,5855,1,1,1,3.35643564356436
1,1*4*1,11122,1,3,1714.514114,16,193.0628228,66,4746,1,4,1,4,193.0628228,66,4746,1,1,1,3.35643564356436
1,1*4*1,14978,1,1,1809.589873,15,56,299,868,1,4,1,4,56,299,868,1,1,1,3.35643564356436
1,1*4*1,7214,1,1,1878.967234,19,58.3,142,3645,1,4,1,4,58.3,142,3645,1,1,1,3.35643564356436
1,1*4*1,10847,1,1,1682.137128,17,291.2,693,3317,1,4,1,4,291.2,693,3317,1,1,1,3.35643564356436
1,1*4*1,2306,1,1,1591.617808,16,135.1,159,3674,1,4,1,4,135.1,159,3674,1,1,1,3.35643564356436
1,1*4*1,13739,1,2,1816.246083,17,71.1,213,581,1,4,1,4,71.1,213,581,1,1,1,3.35643564356436
1,1*1*1,582,1,3,461.1616774,18,72,224,1252,1,1,1,1,72,224,1252,1,1,1,3.35643564356436
1,1*1*1,1186,1,2,404.1985262,19,75.2,332,761,1,1,1,1,75.2,332,761,1,1,1,3.35643564356436
1,1*4*1,4410,1,3,1534.708906,18,30.3,109,1486,1,4,1,4,30.3,109,1486,1,1,1,3.35643564356436
1,1*4*1,12272,1,1,1526.388595,16,75.1,265,216,1,4,1,4,75.1,265,216,1,1,1,3.35643564356436
1,1*4*1,14524,1,2,1568.273433,19,173.6,168,3399,1,4,1,4,173.6,168,3399,1,1,1,3.35643564356436
1,1*4*1,5023,1,3,1824.104071,12,36,130,1148,1,4,1,4,36,130,1148,1,1,1,3.35643564356436
1,1*4*1,536,1,3,1835.969599,20,616.9,249,798,1,4,1,4,616.9,249,798,1,1,1,3.35643564356436
1,1*1*1,3788,1,3,480.2844204,18,227.4,661,2419,1,1,1,1,227.4,661,2419,1,1,1,3.35643564356436
1,1*4*1,1968,1,1,1527.366365,12,186.813273,187,842,1,4,1,4,186.813273,187,842,1,1,1,3.35643564356436
1,1*4*1,15644,1,1,1922.515383,20,88.5,186,442,1,4,1,4,88.5,186,442,1,1,1,3.35643564356436
1,1*4*1,1770,1,2,1641.018153,11,71.4,551,511,1,4,1,4,71.4,551,511,1,1,1,3.35643564356436
1,1*4*1,10891,1,1,1600.741601,17,161.7,364,4577,1,4,1,4,161.7,364,4577,1,1,1,3.35643564356436
1,1*4*1,14826,1,1,1753.969435,12,95.95388709,256,2529,1,4,1,4,95.95388709,256,2529,1,1,1,3.35643564356436
1,1*4*1,7190,1,1,1987.312869,12,213,579,1522,1,4,1,4,213,579,1522,1,1,1,3.35643564356436
1,1*4*1,11063,1,3,1544.184637,20,124.2,355,1294,1,4,1,4,124.2,355,1294,1,1,1,3.35643564356436
1,1*4*1,13814,1,3,1834.174813,18,174.1749626,250,4820,1,4,1,4,174.1749626,250,4820,1,1,1,3.35643564356436
1,1*4*1,7837,1,3,1761.750899,13,34.69017979,633,4135,1,4,1,4,34.69017979,633,4135,1,1,1,3.35643564356436
1,1*4*1,8609,1,1,1923.907597,17,45.5,192,2882,1,4,1,4,45.5,192,2882,1,1,1,3.35643564356436
1,1*4*1,14470,1,1,1559.852076,19,393,490,1010,1,4,1,4,393,490,1010,1,1,1,3.35643564356436
1,1*4*1,9838,1,3,1512.435406,20,44.1,318,5893,1,4,1,4,44.1,318,5893,1,1,1,3.35643564356436
1,1*4*1,14157,1,3,1812.684896,20,24.8,350,404,1,4,1,4,24.8,350,404,1,1,1,3.35643564356436
1,1*4*1,4353,1,1,1779.54209,17,197.7,229,1526,1,4,1,4,197.7,229,1526,1,1,1,3.35643564356436
1,1*4*1,9816,1,3,1816.097434,18,209.5,99,8175,1,4,1,4,209.5,99,8175,1,1,1,3.35643564356436
