"","Uk","PO","Pik","Estrato","ID_unit","Prob","Stratum"
"35",1494,19,0.0293963254593176,"1",35,0.0293963254593176,1
"38",310,19,0.0293963254593176,"1",38,0.0293963254593176,1
"57",76,12,0.0293963254593176,"1",57,0.0293963254593176,1
"147",2252,14,0.0293963254593176,"1",147,0.0293963254593176,1
"195",1853,16,0.0293963254593176,"1",195,0.0293963254593176,1
"196",1975,14,0.0293963254593176,"1",196,0.0293963254593176,1
"211",884,18,0.0293963254593176,"1",211,0.0293963254593176,1
"229",928,13,0.0293963254593176,"1",229,0.0293963254593176,1
"254",1912,14,0.0293963254593176,"1",254,0.0293963254593176,1
"285",55,18,0.0293963254593176,"1",285,0.0293963254593176,1
"478",826,15,0.0293963254593176,"1",478,0.0293963254593176,1
"485",1953,18,0.0293963254593176,"1",485,0.0293963254593176,1
"520",774,19,0.0293963254593176,"1",520,0.0293963254593176,1
"531",2241,16,0.0293963254593176,"1",531,0.0293963254593176,1
"567",1305,17,0.0293963254593176,"1",567,0.0293963254593176,1
"578",1681,16,0.0293963254593176,"1",578,0.0293963254593176,1
"616",1962,16,0.0293963254593176,"1",616,0.0293963254593176,1
"649",2480,11,0.0293963254593176,"1",649,0.0293963254593176,1
"656",2123,15,0.0293963254593176,"1",656,0.0293963254593176,1
"741",3665,6,0.0293963254593176,"1",741,0.0293963254593176,1
"791",1529,19,0.0293963254593176,"1",791,0.0293963254593176,1
"848",1586,11,0.0293963254593176,"1",848,0.0293963254593176,1
"892",173,23,0.0293963254593176,"1",892,0.0293963254593176,1
"893",2724,23,0.0293963254593176,"1",893,0.0293963254593176,1
"934",580,23,0.0293963254593176,"1",934,0.0293963254593176,1
"950",3874,16,0.0293963254593176,"1",950,0.0293963254593176,1
"963",3766,19,0.0293963254593176,"1",963,0.0293963254593176,1
"979",3174,14,0.0293963254593176,"1",979,0.0293963254593176,1
"1036",2867,20,0.0293963254593176,"1",1036,0.0293963254593176,1
"1095",2198,15,0.0293963254593176,"1",1095,0.0293963254593176,1
"1138",783,14,0.0293963254593176,"1",1138,0.0293963254593176,1
"1167",1176,9,0.0293963254593176,"1",1167,0.0293963254593176,1
"1171",2638,19,0.0293963254593176,"1",1171,0.0293963254593176,1
"1191",1200,10,0.0293963254593176,"1",1191,0.0293963254593176,1
"1300",2038,15,0.0293963254593176,"1",1300,0.0293963254593176,1
"1304",1678,12,0.0293963254593176,"1",1304,0.0293963254593176,1
"1444",3639,10,0.0293963254593176,"1",1444,0.0293963254593176,1
"1453",3284,19,0.0293963254593176,"1",1453,0.0293963254593176,1
"1492",3687,14,0.0293963254593176,"1",1492,0.0293963254593176,1
"1499",2601,20,0.0293963254593176,"1",1499,0.0293963254593176,1
"1509",3340,10,0.0293963254593176,"1",1509,0.0293963254593176,1
"1522",2260,12,0.0293963254593176,"1",1522,0.0293963254593176,1
"1528",1902,14,0.0293963254593176,"1",1528,0.0293963254593176,1
"1544",1189,12,0.0293963254593176,"1",1544,0.0293963254593176,1
"1546",3377,18,0.0293963254593176,"1",1546,0.0293963254593176,1
"1569",3400,8,0.0293963254593176,"1",1569,0.0293963254593176,1
"1586",3417,15,0.0293963254593176,"1",1586,0.0293963254593176,1
"1605",3800,19,0.0293963254593176,"1",1605,0.0293963254593176,1
"1625",3456,21,0.0293963254593176,"1",1625,0.0293963254593176,1
"1651",3846,18,0.0293963254593176,"1",1651,0.0293963254593176,1
"1665",3496,22,0.0293963254593176,"1",1665,0.0293963254593176,1
"1695",1461,20,0.0293963254593176,"1",1695,0.0293963254593176,1
"1699",3530,19,0.0293963254593176,"1",1699,0.0293963254593176,1
"1820",3744,17,0.0293963254593176,"1",1820,0.0293963254593176,1
"1874",3945,19,0.0293963254593176,"1",1874,0.0293963254593176,1
"1883",2754,16,0.0293963254593176,"1",1883,0.0293963254593176,1
"1909",1097,29,0.048440065681445,"2",1909,0.048440065681445,2
"1922",3296,43,0.048440065681445,"2",1922,0.048440065681445,2
"2039",498,30,0.048440065681445,"2",2039,0.048440065681445,2
"2073",3811,30,0.048440065681445,"2",2073,0.048440065681445,2
"2083",2728,41,0.048440065681445,"2",2083,0.048440065681445,2
"2101",3475,26,0.048440065681445,"2",2101,0.048440065681445,2
"2113",2394,26,0.048440065681445,"2",2113,0.048440065681445,2
"2118",1670,26,0.048440065681445,"2",2118,0.048440065681445,2
"2121",1309,24,0.048440065681445,"2",2121,0.048440065681445,2
"2141",2786,32,0.048440065681445,"2",2141,0.048440065681445,2
"2150",245,26,0.048440065681445,"2",2150,0.048440065681445,2
"2180",2461,30,0.048440065681445,"2",2180,0.048440065681445,2
"2186",1374,41,0.048440065681445,"2",2186,0.048440065681445,2
"2192",2473,24,0.048440065681445,"2",2192,0.048440065681445,2
"2228",687,30,0.048440065681445,"2",2228,0.048440065681445,2
"2242",2523,33,0.048440065681445,"2",2242,0.048440065681445,2
"2268",1456,36,0.048440065681445,"2",2268,0.048440065681445,2
"2272",1824,26,0.048440065681445,"2",2272,0.048440065681445,2
"2276",1464,29,0.048440065681445,"2",2276,0.048440065681445,2
"2304",1856,33,0.048440065681445,"2",2304,0.048440065681445,2
"2314",2959,27,0.048440065681445,"2",2314,0.048440065681445,2
"2344",439,43,0.048440065681445,"2",2344,0.048440065681445,2
"2363",1551,42,0.048440065681445,"2",2363,0.048440065681445,2
"2412",1600,25,0.048440065681445,"2",2412,0.048440065681445,2
"2462",2864,32,0.048440065681445,"2",2462,0.048440065681445,2
"2470",1293,30,0.048440065681445,"2",2470,0.048440065681445,2
"2545",3554,36,0.048440065681445,"2",2545,0.048440065681445,2
"2569",3943,36,0.048440065681445,"2",2569,0.048440065681445,2
"2570",665,27,0.048440065681445,"2",2570,0.048440065681445,2
"2602",697,31,0.048440065681445,"2",2602,0.048440065681445,2
"2618",3263,40,0.048440065681445,"2",2618,0.048440065681445,2
"2635",1823,35,0.048440065681445,"2",2635,0.048440065681445,2
"2638",1946,33,0.048440065681445,"2",2638,0.048440065681445,2
"2644",981,26,0.048440065681445,"2",2644,0.048440065681445,2
"2659",3304,27,0.048440065681445,"2",2659,0.048440065681445,2
"2662",3064,31,0.048440065681445,"2",2662,0.048440065681445,2
"2704",3752,30,0.048440065681445,"2",2704,0.048440065681445,2
"2715",810,31,0.048440065681445,"2",2715,0.048440065681445,2
"2738",1926,27,0.048440065681445,"2",2738,0.048440065681445,2
"2761",3770,24,0.048440065681445,"2",2761,0.048440065681445,2
"2782",3427,30,0.048440065681445,"2",2782,0.048440065681445,2
"2787",882,35,0.048440065681445,"2",2787,0.048440065681445,2
"2791",2464,34,0.048440065681445,"2",2791,0.048440065681445,2
"2795",890,33,0.048440065681445,"2",2795,0.048440065681445,2
"2796",3198,25,0.048440065681445,"2",2796,0.048440065681445,2
"2826",1042,25,0.048440065681445,"2",2826,0.048440065681445,2
"2873",968,34,0.048440065681445,"2",2873,0.048440065681445,2
"2977",3283,29,0.048440065681445,"2",2977,0.048440065681445,2
"2978",3255,43,0.048440065681445,"2",2978,0.048440065681445,2
"2983",3181,36,0.048440065681445,"2",2983,0.048440065681445,2
"2992",3486,24,0.048440065681445,"2",2992,0.048440065681445,2
"3008",2600,30,0.048440065681445,"2",3008,0.048440065681445,2
"3015",2956,37,0.048440065681445,"2",3015,0.048440065681445,2
"3018",3011,28,0.048440065681445,"2",3018,0.048440065681445,2
"3048",2112,32,0.048440065681445,"2",3048,0.048440065681445,2
"3062",3138,44,0.048440065681445,"2",3062,0.048440065681445,2
"3071",3443,26,0.048440065681445,"2",3071,0.048440065681445,2
"3087",3197,24,0.048440065681445,"2",3087,0.048440065681445,2
"3091",1662,29,0.048440065681445,"2",3091,0.048440065681445,2
"3141",2542,80,0.0897226753670473,"3",3141,0.0897226753670473,3
"3142",2258,80,0.0897226753670473,"3",3142,0.0897226753670473,3
"3144",385,50,0.0897226753670473,"3",3144,0.0897226753670473,3
"3155",3349,55,0.0897226753670473,"3",3155,0.0897226753670473,3
"3167",270,80,0.0897226753670473,"3",3167,0.0897226753670473,3
"3169",3426,72,0.0897226753670473,"3",3169,0.0897226753670473,3
"3171",1430,66,0.0897226753670473,"3",3171,0.0897226753670473,3
"3202",31,77,0.0897226753670473,"3",3202,0.0897226753670473,3
"3216",1151,59,0.0897226753670473,"3",3216,0.0897226753670473,3
"3228",867,59,0.0897226753670473,"3",3228,0.0897226753670473,3
"3237",1441,49,0.0897226753670473,"3",3237,0.0897226753670473,3
"3239",2144,52,0.0897226753670473,"3",3239,0.0897226753670473,3
"3247",3880,68,0.0897226753670473,"3",3247,0.0897226753670473,3
"3256",3134,70,0.0897226753670473,"3",3256,0.0897226753670473,3
"3263",2399,64,0.0897226753670473,"3",3263,0.0897226753670473,3
"3276",2086,72,0.0897226753670473,"3",3276,0.0897226753670473,3
"3279",2103,69,0.0897226753670473,"3",3279,0.0897226753670473,3
"3302",371,45,0.0897226753670473,"3",3302,0.0897226753670473,3
"3330",1789,60,0.0897226753670473,"3",3330,0.0897226753670473,3
"3333",3129,61,0.0897226753670473,"3",3333,0.0897226753670473,3
"3340",3095,54,0.0897226753670473,"3",3340,0.0897226753670473,3
"3347",1077,53,0.0897226753670473,"3",3347,0.0897226753670473,3
"3348",3819,69,0.0897226753670473,"3",3348,0.0897226753670473,3
"3350",1040,70,0.0897226753670473,"3",3350,0.0897226753670473,3
"3354",2527,50,0.0897226753670473,"3",3354,0.0897226753670473,3
"3355",2176,72,0.0897226753670473,"3",3355,0.0897226753670473,3
"3369",3298,50,0.0897226753670473,"3",3369,0.0897226753670473,3
"3375",3251,66,0.0897226753670473,"3",3375,0.0897226753670473,3
"3385",2573,75,0.0897226753670473,"3",3385,0.0897226753670473,3
"3389",1835,46,0.0897226753670473,"3",3389,0.0897226753670473,3
"3393",3418,68,0.0897226753670473,"3",3393,0.0897226753670473,3
"3418",3425,78,0.0897226753670473,"3",3418,0.0897226753670473,3
"3421",3350,54,0.0897226753670473,"3",3421,0.0897226753670473,3
"3429",3265,54,0.0897226753670473,"3",3429,0.0897226753670473,3
"3451",2287,56,0.0897226753670473,"3",3451,0.0897226753670473,3
"3456",458,48,0.0897226753670473,"3",3456,0.0897226753670473,3
"3460",3689,49,0.0897226753670473,"3",3460,0.0897226753670473,3
"3474",1026,45,0.0897226753670473,"3",3474,0.0897226753670473,3
"3491",1234,68,0.0897226753670473,"3",3491,0.0897226753670473,3
"3527",3655,67,0.0897226753670473,"3",3527,0.0897226753670473,3
"3534",294,70,0.0897226753670473,"3",3534,0.0897226753670473,3
"3538",3706,45,0.0897226753670473,"3",3538,0.0897226753670473,3
"3540",2793,48,0.0897226753670473,"3",3540,0.0897226753670473,3
"3551",1092,47,0.0897226753670473,"3",3551,0.0897226753670473,3
"3560",1424,51,0.0897226753670473,"3",3560,0.0897226753670473,3
"3561",1791,49,0.0897226753670473,"3",3561,0.0897226753670473,3
"3574",225,59,0.0897226753670473,"3",3574,0.0897226753670473,3
"3576",3883,56,0.0897226753670473,"3",3576,0.0897226753670473,3
"3589",3775,63,0.0897226753670473,"3",3589,0.0897226753670473,3
"3673",572,50,0.0897226753670473,"3",3673,0.0897226753670473,3
"3683",3157,67,0.0897226753670473,"3",3683,0.0897226753670473,3
"3686",1383,72,0.0897226753670473,"3",3686,0.0897226753670473,3
"3697",1215,62,0.0897226753670473,"3",3697,0.0897226753670473,3
"3707",1133,46,0.0897226753670473,"3",3707,0.0897226753670473,3
"3718",975,80,0.0897226753670473,"3",3718,0.0897226753670473,3
"3754",2187,119,0.141414141414141,"4",3754,0.141414141414141,4
"3758",3431,87,0.141414141414141,"4",3758,0.141414141414141,4
"3767",1096,102,0.141414141414141,"4",3767,0.141414141414141,4
"3768",1903,112,0.141414141414141,"4",3768,0.141414141414141,4
"3771",1948,108,0.141414141414141,"4",3771,0.141414141414141,4
"3778",483,114,0.141414141414141,"4",3778,0.141414141414141,4
"3780",1578,86,0.141414141414141,"4",3780,0.141414141414141,4
"3786",804,97,0.141414141414141,"4",3786,0.141414141414141,4
"3791",3170,118,0.141414141414141,"4",3791,0.141414141414141,4
"3798",3108,115,0.141414141414141,"4",3798,0.141414141414141,4
"3817",211,111,0.141414141414141,"4",3817,0.141414141414141,4
"3828",2395,83,0.141414141414141,"4",3828,0.141414141414141,4
"3829",2896,96,0.141414141414141,"4",3829,0.141414141414141,4
"3831",3153,141,0.141414141414141,"4",3831,0.141414141414141,4
"3832",2035,129,0.141414141414141,"4",3832,0.141414141414141,4
"3839",597,135,0.141414141414141,"4",3839,0.141414141414141,4
"3848",3534,112,0.141414141414141,"4",3848,0.141414141414141,4
"3849",3171,126,0.141414141414141,"4",3849,0.141414141414141,4
"3853",3903,111,0.141414141414141,"4",3853,0.141414141414141,4
"3860",875,88,0.141414141414141,"4",3860,0.141414141414141,4
"3861",268,110,0.141414141414141,"4",3861,0.141414141414141,4
"3868",2301,140,0.141414141414141,"4",3868,0.141414141414141,4
"3879",3323,115,0.141414141414141,"4",3879,0.141414141414141,4
"3886",3936,102,0.141414141414141,"4",3886,0.141414141414141,4
"3895",2044,99,0.141414141414141,"4",3895,0.141414141414141,4
"3912",3962,85,0.141414141414141,"4",3912,0.141414141414141,4
"3919",3241,104,0.141414141414141,"4",3919,0.141414141414141,4
"3926",2398,115,0.141414141414141,"4",3926,0.141414141414141,4
"3935",2670,182,1,"5",3935,1,5
"3936",966,189,1,"5",3936,1,5
"3937",1818,184,1,"5",3937,1,5
"3938",1534,182,1,"5",3938,1,5
"3939",2954,181,1,"5",3939,1,5
"3940",3980,800,1,"5",3940,1,5
"3941",1436,607,1,"5",3941,1,5
"3942",682,180,1,"5",3942,1,5
"3943",398,187,1,"5",3943,1,5
"3944",584,606,1,"5",3944,1,5
"3945",2102,186,1,"5",3945,1,5
"3946",3977,600,1,"5",3946,1,5
"3947",2409,394,1,"5",3947,1,5
"3948",2386,187,1,"5",3948,1,5
"3949",989,396,1,"5",3949,1,5
"3950",868,606,1,"5",3950,1,5
"3951",2288,609,1,"5",3951,1,5
"3952",1250,187,1,"5",3952,1,5
"3953",3979,700,1,"5",3953,1,5
"3954",3978,650,1,"5",3954,1,5
"3955",3708,608,1,"5",3955,1,5
"3956",2977,390,1,"5",3956,1,5
"3957",1841,392,1,"5",3957,1,5
"3958",1720,608,1,"5",3958,1,5
"3959",3983,1200,1,"5",3959,1,5
"3960",3806,185,1,"5",3960,1,5
"3961",3984,1500,1,"5",3961,1,5
"3962",3238,183,1,"5",3962,1,5
"3963",2572,605,1,"5",3963,1,5
"3964",1152,605,1,"5",3964,1,5
"3965",705,392,1,"5",3965,1,5
"3966",16,607,1,"5",3966,1,5
"3967",1557,397,1,"5",3967,1,5
"3968",3261,396,1,"5",3968,1,5
"3969",114,185,1,"5",3969,1,5
"3970",421,393,1,"5",3970,1,5
"3971",3522,189,1,"5",3971,1,5
"3972",2004,600,1,"5",3972,1,5
"3973",300,604,1,"5",3973,1,5
"3974",3424,605,1,"5",3974,1,5
"3975",2693,395,1,"5",3975,1,5
"3976",3829,399,1,"5",3976,1,5
"3977",2125,398,1,"5",3977,1,5
"3978",137,394,1,"5",3978,1,5
"3979",3981,1080,1,"5",3979,1,5
"3980",3982,1190,1,"5",3980,1,5
"3981",1273,395,1,"5",3981,1,5
"3982",3140,601,1,"5",3982,1,5
"3983",3545,397,1,"5",3983,1,5
"3984",2856,606,1,"5",3984,1,5
