STRATO	N	M1	M2	M3	S1	S2	S3	COST	CENS	DOM1	X1	X2	X3	LABEL	STRATUM
1*1*1	41	98.3165185753659	277.048780487805	1826.70731707317	67.3080876635519	181.783032187264	1409.57349100067	1	0	1	1	1	1	1	1*1*1
1*2*1	185	99.7990266993622	307.345945945946	2147.69189189189	85.7093634861089	169.296283694456	1710.21162186318	1	0	1	1	2	1	1	1*2*1
1*3*1	291	127.132090292457	308.831615120275	2317.11683848797	108.187544856703	169.337406421448	1883.81413565377	1	0	1	1	3	1	1	1*3*1
1*4*1	298	144.896765313255	276.835570469799	2265.78859060403	175.318896826472	156.863970298137	1832.52295707093	1	0	1	1	4	1	2	1*4*1
1*5*1	212	297.167127266509	310.330188679245	1983.3820754717	516.730838562547	148.232620712718	1631.37254408772	1	0	1	1	5	1	3	1*5*1
2*1*1	108	74.4490394420648	292.314814814815	2336.50925925926	49.2912417085725	152.529271516683	2053.12604245588	1	0	1	2	1	1	4	2*1*1
2*2*1	456	104.940892874522	289.77850877193	2184.57675438596	99.3247562335784	161.352253240686	1726.34339331798	1	0	1	2	2	1	4	2*2*1
2*3*1	710	125.593620279017	299.107042253521	2187.55774647887	116.12373824218	164.378932994403	1761.61467271252	1	0	1	2	3	1	5	2*3*1
2*4*1	634	144.9410166123	300.81072555205	2201.53943217666	140.470449527194	171.450406175392	1811.08813236919	1	0	1	2	4	1	6	2*4*1
2*5*1	423	234.927854443286	302.160756501182	2045.20567375887	323.763690526105	173.050294473585	1645.72568018971	1	0	1	2	5	1	7	2*5*1
3*1*1	86	80.1034851555814	301.139534883721	2104.44186046512	55.0311324547827	190.200882960236	1415.94518193598	1	0	1	3	1	1	8	3*1*1
3*2*1	411	102.640483746925	298.70802919708	2111.06082725061	86.8365679610703	167.745280797809	1653.85322805552	1	0	1	3	2	1	9	3*2*1
3*3*1	611	131.540838659969	294.675941080196	2114.14566284779	122.923522264284	165.725009527441	1715.90922109847	1	0	1	3	3	1	5	3*3*1
3*4*1	563	149.941330567194	301.206039076377	2254.67673179396	164.565467741654	166.457597049202	1678.03591057143	1	0	1	3	4	1	10	3*4*1
