STRATO	M1	M2	M3	S1	S2	S3	N	DOM1	COST	CENS	SOLUZ
1	142.7909	304.2477	2140.5856	128.1804	172.5402	1640.1631	222	1	1	0	67
2	104.2576	297.6659	2166.8382	96.455	165.1755	1732.248	865	1	1	0	243
3	127.1321	308.8316	2317.1168	108.0015	169.0462	1880.5746	291	1	1	0	85
4	144.9846	282.1626	2229.4342	157.8069	157.8918	1766.3683	486	1	1	0	142
5	297.1671	310.3302	1983.3821	515.5107	147.8826	1627.5204	212	1	1	0	109
6	74.449	292.3148	2336.5093	49.0625	151.8215	2043.5987	108	1	1	0	27
7	127.9257	297.5664	2166.4574	118.0523	166.8321	1742.5241	1633	1	1	0	473
8	147.2929	300.9967	2226.5322	152.171	168.9795	1748.514	1197	1	1	0	365
9	234.9279	302.1608	2045.2057	323.3808	172.8456	1643.7792	423	1	1	0	169
10	82.1029	304.4537	2307.0463	61.0522	177.8602	1575.342	108	1	1	0	32
11	100.5876	296.4256	2134.2053	83.8909	161.978	1669.2234	531	1	1	0	145
12	203.6511	303.2868	2217.3876	254.0184	159.7141	1825.7364	387	1	1	0	133
13	70.623	258.8205	1717.0513	53.9234	149.2983	1148.8191	39	1	1	0	10
14	157.4098	285.5099	2307.8102	194.1548	158.8063	1759.5736	353	1	1	0	109
15	248.8893	295.2453	2252.934	328.2081	176.1854	1675.1465	212	1	1	0	86
