STRATO	M1	M2	M3	S1	S2	S3	N	DOM1	COST	CENS	SOLUZ
1	85.9833	293.3622	2014.7795	59.3827	186.4063	1408.73	127	1	1	0	39
2	124.7238	298.2121	2149.8032	115.1055	168.8326	1724.6892	1108	1	1	0	324
3	137.0001	309.4364	2276.6864	120.3371	169.5335	1808.1497	472	1	1	0	139
4	144.8968	276.8356	2265.7886	175.0245	156.6006	1829.4457	298	1	1	0	89
5	297.1671	310.3302	1983.3821	515.5107	147.8826	1627.5204	212	1	1	0	108
6	77.067	296.5615	2465.5538	56.008	147.746	2041.7651	130	1	1	0	32
7	102.2371	287.3394	2147.7414	96.8647	160.4883	1690.9406	495	1	1	0	136
8	125.5936	299.107	2187.5577	116.0419	164.2631	1760.3737	710	1	1	0	203
9	144.941	300.8107	2201.5394	140.3596	171.3151	1809.6593	634	1	1	0	193
10	234.9279	302.1608	2045.2057	323.3808	172.8456	1643.7792	423	1	1	0	169
11	102.6405	298.708	2111.0608	86.7309	167.5411	1651.84	411	1	1	0	116
12	145.7455	295.1918	2249.736	164.4944	164.9108	1681.4954	803	1	1	0	244
13	203.6511	303.2868	2217.3876	254.0184	159.7141	1825.7364	387	1	1	0	132
14	106.5489	305.7277	2146.5402	99.1498	169.2959	1769.1562	224	1	1	0	65
15	248.8893	295.2453	2252.934	328.2081	176.1854	1675.1465	212	1	1	0	86
16	93.5563	288.6083	2213.475	72.8987	140.9943	1725.085	120	1	1	0	29
17	145.1238	290.6064	2171.8085	125.7753	159.5533	1659.8543	188	1	1	0	53
18	203.0881	294.9115	2455.7699	239.5639	154.2852	1884.7055	113	1	1	0	37
1	209.9049	295.8842	2265.7316	132.0794	163.3873	1915.0663	380	2	1	0	69
2	280.8564	305.2314	2187.4329	192.3864	173.4751	1722.4948	834	2	1	0	221
3	340.2825	309.4473	2180.6352	242.6637	167.274	1772.4655	825	2	1	0	275
4	559.5223	300.7507	2221.554	558.518	169.6976	1769.9239	1388	2	1	0	1065
5	138.5335	369.1707	2226.7073	80.6662	176.0481	1877.3375	41	2	1	0	5
6	203.5139	308.0779	2156.3146	121.7939	188.6557	1589.1221	321	2	1	0	54
7	336.641	316.7098	2127.7566	239.0575	175.5784	1692.9858	641	2	1	0	211
8	166.8348	338.5238	2240.6905	79.5667	163.8048	1733.7467	42	2	1	0	5
9	263.4139	304.5498	2146.6222	173.0903	181.6597	1688.9173	442	2	1	0	106
10	551.0344	300.9072	2155.7567	570.6087	170.2587	1667.3413	711	2	1	0	557
11	299.8305	299.2826	2100.9066	220.3523	169.5441	1695.5566	407	2	1	0	124
12	321.106	311.3377	2112.8262	242.5886	183.8325	1875.2458	305	2	1	0	102
13	563.2125	298.2746	2227.7612	497.028	156.2228	1713.3628	335	2	1	0	229
14	274.2172	291.9509	2030.5215	169.6336	148.2125	1472.2465	163	2	1	0	38
1	533.5274	279.5119	2011.2262	350.7968	169.3883	1674.6673	84	3	1	0	12
2	291.6859	252.0625	2451.5313	135.9292	127.8514	1754.2545	64	3	1	0	7
3	456.7455	319.6136	2217.4545	255.1769	218.0644	1696.8664	44	3	1	0	8
4	916.7393	301.9515	2320.8641	741.1409	163.4055	1888.3386	206	3	1	0	28
5	628.8784	298.5721	2182.2207	497.0931	145.4887	1837.1757	222	3	1	0	27
6	382.5324	305.1127	2200.9014	191.2228	228.8513	1568.5099	71	3	1	0	14
7	518.7679	321.1583	2148.1978	294.5813	178.6888	1720.1709	278	3	1	0	42
8	892.9251	284.9383	2240.4917	715.604	153.2737	1809.789	665	3	1	0	85
9	855.3029	295.4449	2184.5798	725.204	169.3505	1786.0744	445	3	1	0	63
10	516.0058	344.5362	1896.8261	292.5731	165.5158	1149.7362	69	3	1	0	10
