DOMAINVALUE,STRATUM,UNIDAD,REGION,TIPOEMP,SUPERFICIE,CANTEMP,SOJA,TRIGO,BOVINOS,CATCANTEMP,CATSUPERFICIE,X1,X2,Y1,Y2,Y3,X3,LABEL,STRATO,WEIGHTS
1,1*4*1,13693,1,2,1760.916102,16,517,314,350,1,4,1,4,517,314,350,1,1,1,3.35643564356436
1,1*4*1,14246,1,2,1961.458343,19,136.0316685,161,2823,1,4,1,4,136.0316685,161,2823,1,1,1,3.35643564356436
1,1*4*1,13790,1,2,1787.086282,12,43.7,315,1241,1,4,1,4,43.7,315,1241,1,1,1,3.35643564356436
1,1*4*1,13083,1,1,1692.231266,20,101.1,167,1986,1,4,1,4,101.1,167,1986,1,1,1,3.35643564356436
1,1*4*1,11098,1,3,1616.654293,18,57.5,313,489,1,4,1,4,57.5,313,489,1,1,1,3.35643564356436
1,1*4*1,827,1,2,1531.840784,20,304.3,180,499,1,4,1,4,304.3,180,499,1,1,1,3.35643564356436
1,1*4*1,9600,1,1,1675.008319,17,107.3,283,3234,1,4,1,4,107.3,283,3234,1,1,1,3.35643564356436
1,1*4*1,2412,1,3,1655.922202,19,250.2,152,589,1,4,1,4,250.2,152,589,1,1,1,3.35643564356436
1,1*4*1,12512,1,1,1804.971933,16,47.8,176,1239,1,4,1,4,47.8,176,1239,1,1,1,3.35643564356436
1,1*4*1,5965,1,1,1884.564895,14,74.39297907,193,5855,1,4,1,4,74.39297907,193,5855,1,1,1,3.35643564356436
1,1*4*1,1750,1,2,1728.21468,19,103.1,236,815,1,4,1,4,103.1,236,815,1,1,1,3.35643564356436
1,1*4*1,6586,1,1,1833.714561,19,17,265,1759,1,4,1,4,17,265,1759,1,1,1,3.35643564356436
1,1*4*1,10721,1,1,1879.060699,20,256,462,1260,1,4,1,4,256,462,1260,1,1,1,3.35643564356436
1,1*4*1,4763,1,2,1826.252691,17,183,246,220,1,4,1,4,183,246,220,1,1,1,3.35643564356436
1,1*4*1,15342,1,1,1703.26447,20,127.192894,231,3634,1,4,1,4,127.192894,231,3634,1,1,1,3.35643564356436
1,1*4*1,3008,1,1,1609.907334,20,147,127,6468,1,4,1,4,147,127,6468,1,1,1,3.35643564356436
1,1*4*1,13814,1,3,1834.174813,18,174.1749626,250,4820,1,4,1,4,174.1749626,250,4820,1,1,1,3.35643564356436
1,1*4*1,13740,1,2,1970.582306,17,16.5,176,1976,1,4,1,4,16.5,176,1976,1,1,1,3.35643564356436
1,1*4*1,9397,1,1,1679.727979,19,65.4,560,3325,1,4,1,4,65.4,560,3325,1,1,1,3.35643564356436
1,1*4*1,11773,1,3,1539.675875,19,108.6,334,437,1,4,1,4,108.6,334,437,1,1,1,3.35643564356436
1,1*1*1,11809,1,2,269.8088057,20,152,235,55,1,1,1,1,152,235,55,1,1,1,3.35643564356436
1,1*1*1,1119,1,3,395.5861455,12,45.6,318,1962,1,1,1,1,45.6,318,1962,1,1,1,3.35643564356436
1,1*4*1,12566,1,1,1552.095758,20,84.4,327,520,1,4,1,4,84.4,327,520,1,1,1,3.35643564356436
1,1*1*1,1186,1,2,404.1985262,19,75.2,332,761,1,1,1,1,75.2,332,761,1,1,1,3.35643564356436
1,1*4*1,8917,1,1,1533.285748,20,154.1,273,1978,1,4,1,4,154.1,273,1978,1,1,1,3.35643564356436
1,1*4*1,15569,1,1,1914.805161,15,150.8,45,3637,1,4,1,4,150.8,45,3637,1,1,1,3.35643564356436
1,1*4*1,14687,1,1,1582.991754,12,307.2,398,1890,1,4,1,4,307.2,398,1890,1,1,1,3.35643564356436
