DOMAINVALUE,STRATO,NH_FRAME,NH_STRATA,PLANNED_UNITS,SELECTED_UNITS,SUM_OF_WGTS
1,1,339,339,101,101,339
1,2,1307,1307,373,373,1307
1,3,494,494,144,144,494
1,4,212,212,109,109,212
1,5,147,147,37,37,147
1,6,456,456,126,126,456
1,7,1197,1197,365,365,1197
1,8,423,423,169,169,423
1,9,206,206,56,56,206
1,10,411,411,116,116,411
1,11,611,611,177,177,611
1,12,500,500,169,169,500
1,13,312,312,94,94,312
1,14,240,240,72,72,240
1,15,212,212,86,86,212
2,1,53,53,6,6,53
2,2,111,111,22,22,111
2,3,699,699,171,171,699
2,4,479,479,157,157,479
2,5,328,328,251,251,328
2,6,239,239,39,39,239
2,7,577,577,155,155,577
2,8,1162,1162,382,382,1162
2,9,1771,1771,1371,1371,1771
2,10,300,300,52,52,300
2,11,232,232,70,70,232
2,12,305,305,102,102,305
2,13,335,335,229,229,335
2,14,81,81,15,15,81
2,15,163,163,38,38,163
3,1,74,74,14,14,74
3,2,46,46,5,5,46
3,3,61,61,11,11,61
3,4,434,434,61,61,434
3,5,295,295,38,38,295
3,6,237,237,34,34,237
3,7,285,285,36,36,285
3,8,139,139,21,21,139
3,9,469,469,60,60,469
3,10,108,108,15,15,108
